,,Direct Sales Quota,,Wholesale Quota,,Total,
,Highland,2,"325,834",17,"15,859,722",18,"16,185,556"
,Lothian,1,"53,103",40,"24,927,844",40,"24,980,947"
,Orkney,1,"109,792",24,"16,458,396",24,"16,568,188"
,Shetland,5,"80,665",6,"2,683,319",6,"2,763,984"
,Strathclyde,18,"3,444,233",715,"488,458,245",716,"491,902,478"
,Tayside,1,"880,146",33,"28,093,296",33,"28,973,442"
,Western Isles,2,"1,089,374",0,0,2,"1,089,374"
,Total,53,"11,994,872","1,536","1,234,206,650","1,544","1,246,201,522"
N IRELAND,County Name,No. of Producers,Permanent Quota,No. of Producers,Permanent Quota,Distinct Producers,Permanent Quota
,Antrim,8,"966,258","1,075","446,317,855","1,075","447,284,113"
,Armagh,5,"444,763",413,"177,668,261",413,"178,113,024"
,Down,16,"1,155,605",860,"409,054,417",860,"410,210,022"
,Fermanagh,3,"89,448",499,"110,075,352",499,"110,164,800"
,Londonderry,10,"654,773",453,"185,105,563",453,"185,760,336"
,Tyrone,15,"2,620,886","1,208","428,905,873","1,209","431,526,759"
,Total,57,"5,931,733","4,508","1,757,127,321","4,509","1,763,059,054"
,,No. of Producers,Permanent Quota,No. of Producers,Permanent Quota,Distinct Producers,Permanent Quota
,UK Totals,897,"147,390,631","21,483","14,015,020,100","21,553","14,162,410,731"
