Minister,Date,Name of organisation or individual,Purpose of meeting
Kwasi Kwarteng,2021-12-01,"The Times - (Steven Swinford, Editor)",To discuss BEIS priorities
Kwasi Kwarteng,2021-12-01,Westinghouse Electric Company,To discuss nuclear
Kwasi Kwarteng,2021-12-01,"The Sun (Victoria Newton, Editor)",To discuss BEIS priorities
Kwasi Kwarteng,2021-12-01,County Durham Fire Brigade,To discuss storm response
Kwasi Kwarteng,2021-12-01,Scottish Power,To discuss storm response
Kwasi Kwarteng,2021-12-02,"National Institute for Health and Care Excellence, Government Chief Scientific Adviser, Secretary of State for Health and Social Care, Secretary of State for International Trade, NHS, Accelerated Access Collaborative, Director of Innovation, Research and Life Sciences, Medicines and Healthcare Products Regulatory Authority, UK Government Life Sciences Champion, External Advisory Group for the Life Sciences Vision, Office for Life Sciences, , Healthcare, Life Science and Chemicals, Department for International Trade, Davis Polk, Association of the British Pharmaceutical Industry, Pharmaceutical Research and Manufacturers of America, The European Federation of Pharmaceutical Industries and Associations, he International Federation of Pharmaceutical Manufacturers & Associations, Union Chimique Belge, Roche, Pfizer, Bristol Myers Squibb, Merck, Chiesi, Lundbeck, Merck Group, Sanofi, Servier, IPSEN, Almirall, Gilead, Bayer, Teva, AstraZeneca, Boehringer Ingelheim, Isao Teshirogi, GlaxoSmithKline",To discuss life sciences
Kwasi Kwarteng,2021-12-02,Rolls Royce,To discuss business
Kwasi Kwarteng,2021-12-02,County Durham and Darlington Local Resilience,To discuss storm response
Kwasi Kwarteng,2021-12-02,Northern Powergrid,To discuss storm response
Kwasi Kwarteng,2021-12-06,"Make UK, Federation of Small Businesses, Confederation of British Industry, Institute of Directors and British Chambers of Commerce",To discuss business priorities
Kwasi Kwarteng,2021-12-06,"Civil Aviation Authority, Sustainable Aviation Fuels, FlyZero, Aerospace Technology Institute, British Airways, EasyJet, ZeroAvia",To discuss decarbonisation
Kwasi Kwarteng,2021-12-06,County Durham and Darlington Local Resilience Forum,To discuss storm response
Kwasi Kwarteng,2021-12-06,Northumbria Police,To discuss storm response
Kwasi Kwarteng,2021-12-06,Northern Powergrid,To discuss storm response
Kwasi Kwarteng,2021-12-07,"Mail on Sunday (Ted Verity, Editor)",To discuss BEIS priorities
Kwasi Kwarteng,2021-12-07,Scottish Power,To discuss storm response
Kwasi Kwarteng,2021-12-09,"Make UK, Federation of Small Businesses, Confederation of British Industry, Institute of Directors and British Chambers of Commerce",To discuss business priorities
Kwasi Kwarteng,2021-12-13,The British Library Business & IP Centre,Visit to discuss business
Kwasi Kwarteng,2021-12-13,"Make UK, Federation of Small Businesses, Confederation of British Industry, Institute of Directors and British Chambers of Commerce",To discuss business priorities
Kwasi Kwarteng,2021-12-13,"Daily Mail (Jason Graves, Editor)",To discuss BEIS priorities
Kwasi Kwarteng,2021-12-16,Canada Pension Plan Investment Board,Introductory meeting
Kwasi Kwarteng,2021-12-16,Fidelity,To discuss business
Kwasi Kwarteng,2021-12-16,Resolution Foundation,To discuss science and innovation
Kwasi Kwarteng,2021-12-20,Vitol,To discuss gas markets
Kwasi Kwarteng,2021-12-20,Barclays,To discuss energy
Kwasi Kwarteng,2021-12-20,"Make UK, Federation Small Businesses, Confederation of British Industry, Institute of Directors and British Chambers of Commerce",To discuss business priorities
Kwasi Kwarteng,2021-12-21,"Make UK, Federation of Small Businesses, Confederation of British Industry, Institute of Director, British Chambers of Commerce, UKHospitality, UK Finance, Tech UK, Society of Motor Manufacturers and Traders, The Institute of Chartered Accountants in England and Wales, Energy UK, Energy Networks Association, Creative Industries Federation, Chemical Industries Association, British Retail Consortium, Build UK, ADS Group, The Association of the British Pharmaceutical Industry, Association of British Insurers",To discuss business priorities
Greg Hands,2021-10-06,Nuclear Decommissioning Authority,To discuss nuclear issues
Greg Hands,2021-10-07,Sellafield,Visit to discuss Sellafield facility and operations
Greg Hands,2021-10-11,BEIS Ministerial Stakeholder Reception,Stakeholder reception to discuss the work of the department
Greg Hands,2021-10-12,Shell,To discuss their role in the UK Oil & Gas sector and transition to Net Zero
Greg Hands,2021-10-13,"Shell, Octopus Energy, E.ON, Centrica, EDF Energy, Energy UK, Scottish Power, Ovo energy, Utilia, Utility Warehouse, Citizens Advice, Together Energy, ESB Energy, Good Energy, Ecotricity",To discuss the energy market 
Greg Hands,2021-10-13,"Isotopen Technologies Munich (ITM), Mediso Investments",To discuss medical radioisotopes
Greg Hands,2021-10-13,"Oil & Gas Authority, Oil & Gas UK, TotalEnergies, Aker Offshore Wind, Petrofac, Opportunity North East, Shell, Brindex, Harbour Energy, Net Zero Technology Centre",Introductory meeting with the sector and to discuss progress on the North Sea Transition Deal (including dinner)
Greg Hands,2021-10-14,"The Energy Transition Institute at the Robert Gordon University, Oil & Gas UK",To discuss how the future workforce will support the transition
Greg Hands,2021-10-14,"Harbour Energy, Oil & Gas UK",Visit and tour
Greg Hands,2021-10-14,"CHC Helicopter, with Oil & Gas UK and Aker Offshore Wind",Visit and tour
Greg Hands,2021-10-15,"Guest, Keen & Nettlefolds (GKN) Aerospace",Visit and tour
Greg Hands,2021-10-18,Equinor,Introductory meeting to discuss UK oil and gas activities
Greg Hands,2021-10-18,"Bechtel, Westinghouse Electric Company UK",To discuss the proposed nuclear power project in Wylfa
Greg Hands,2021-10-20,International Energy Agency,To discuss the work of the International Energy Agency
Greg Hands,2021-10-20,Opportunity North East (ONE),"To discuss Carbon Capture, Utilisation and Storage and the cluster sequencing"
Greg Hands,2021-10-21,"Shell, Octopus Energy, E.ON, Centrica, EDF Energy, Energy UK, Scottish Power, Ovo energy, Utilia, Utility Warehouse, Citizens Advice, Together Energy, ESB Energy, Good Energy, Ecotricity",To discuss the energy market
Greg Hands,2021-10-21,Energy UK,To discuss Energy UK’s activity
Greg Hands,2021-10-21,Design Museum exhibition,"Speech on, Waste Age: What can design do?"
Greg Hands,2021-10-26,Nuclear Energy Agency,Steering Committee to discuss nuclear issues
Greg Hands,2021-10-28,Novelis,"Visit to discuss the work on hydrogen and Carbon Capture, Utilisation and Storage"
Greg Hands,2021-10-28,Viridor,"Visit to discuss the work on hydrogen and Carbon Capture, Utilisation and Storage"
Greg Hands,2021-11-01,Opportunity North East,To discuss the Scottish CCUS Cluster and B4C Acceleration of Offshore Wind Project
Greg Hands,2021-11-02,"Shell, Octopus Energy, E.ON, Centrica, EDF Energy, Energy UK, Scottish Power, Ovo energy, Utilia, Utility Warehouse, Citizens Advice, Together Energy, ESB Energy, Good Energy, Ecotricity",To discuss the energy market
Greg Hands,2021-11-03,"British Chamber of Commerce, Unilever, Heineken",To discuss including companies in reaching Net Zero & achieving the goals set out by COP26
Greg Hands,2021-11-04,"International Energy Agency, The Climate Group, Schneider Electric, Arcelik",COP26 panel discussion on product efficiency
Greg Hands,2021-11-05,Tullow Oil,To discuss the end of UK financial support for overseas fossil fuel projects
Greg Hands,2021-11-08,Ba-Wu,Visit to mark the opening of the Ba-Wu London office
Greg Hands,2021-11-10,BMW,To discuss industry concerns
Greg Hands,2021-11-12,ESB Energy,To discuss energy retail suppliers
Greg Hands,2021-11-12,Teneo,To discuss energy retail suppliers
Greg Hands,2021-11-16,"Shell, Octopus Energy, E.ON, Centrica, EDF Energy, Energy UK, Scottish Power, Ovo energy, Utilia, Utility Warehouse, Citizens Advice, Together Energy, ESB Energy, Good Energy, Ecotricity",To discuss the energy market
Greg Hands,2021-11-22,Whitelee WindFarm,Visit & introductory meeting
Greg Hands,2021-11-22,BayWa,Visit & introductory meeting
Greg Hands,2021-11-23,Carbon Capture & Storage Association,To discuss Carbon Capture Utilisation & Storage and progress of the Cluster sequencing process
Greg Hands,2021-11-24,S&P Global,To discuss the importance of new nuclear in the energy transition
Greg Hands,2021-11-25,Oil & Gas UK,Introductory meeting to discuss the oil and gas sector and progress on the North Sea Transition Deal
Greg Hands,2021-11-29,North Sea Transition Forum,Meeting to discuss progress on the North Sea Transition Deal
Greg Hands,2021-11-29,National Grid,To discuss National Grid’s operations
Greg Hands,2021-11-30,East Coast Hydrogen,To give a speech at East Coast Hydrogen Launch
Greg Hands,2021-12-01,Northern Powergrid,Tour of call centre
Greg Hands,2021-12-02,Shell,To discuss investment sentiment in the North Sea
Greg Hands,2021-12-02,Nuclear Industry Association annual conference,Keynote speech at Annual Conference
Greg Hands,2021-12-03,SSE,Visit to meet with SSE workers at repair site
Greg Hands,2021-12-06,Westminster Insight,To give a speech at Decarbonising the energy sector conference
Greg Hands,2021-12-06,Bechtel,To discuss  the Future Nuclear Enabling Fund (FNEF)
Greg Hands,2021-12-06,National Grid Ventures,"To discuss carbon capture, utilisation & storage"
Greg Hands,2021-12-06,Drax,To discuss the Drax Bioenergy and Carbon Capture and Storage project
Greg Hands,2021-12-06,"Nuclear Industry Association , RenewableUK, Energy Industries Council, Aker OSW, Oil & Gas UK, UK Hydrogen and Fuel Cell Association","To discuss existing Sector Deals applying to the development of newer technologies, such as hydrogen."
Greg Hands,2021-12-07,Storegga,"Meeting to discuss Carbon capture, utilisation & storage"
Greg Hands,2021-12-07,"Shell, Octopus Energy, E.ON, Centrica, EDF Energy, Energy UK, Scottish Power, Ovo energy, Utilia, Utility Warehouse, Citizens Advice, Together Energy, ESB Energy, Good Energy, Ecotricity",To discuss the energy market
Greg Hands,2021-12-07,Orsted,To discuss the Offshore Wind Industry Council
Greg Hands,2021-12-07,SSE,Meeting to discuss Offshore Wind Industry Council
Greg Hands,2021-12-07,Scottish Power,Meeting to discuss Offshore Wind Industry Council
Greg Hands,2021-12-07,Vattenfall,Meeting to discuss Offshore Wind Industry Council
Greg Hands,2021-12-07,Energy Industrial Holding (EPH),To discuss economic cooperation
Greg Hands,2021-12-08,Hydrogen Advisory Council,Roundtable to discuss hydrogen strategy
Greg Hands,2021-12-09,Trade Unions Congress,To discuss Westinghouse 
Greg Hands,2021-12-13,Fell View Solar Farm,Visit and tour
Greg Hands,2021-12-13,Springfields Tour of National Nuclear Laboratory,Visit and tour
Greg Hands,2021-12-13,Prospect & Unite,To discuss the Westinghouse strategy review
Greg Hands,2021-12-13,Westinghouse,Tour of oxide fuels complex to meet apprentices
Greg Hands,2021-12-14,Rolls Royce,To discuss Small Modular Reactor’s and nuclear role in UK’s net zero targets
Greg Hands,2021-12-15,Equinor,To discuss investor confidence in the oil and gas sector
Greg Hands,2021-12-15,Siccar,To discuss investor confidence in the oil and gas sector
Greg Hands,2021-12-16,BP,Introductory meeting to discuss BP activities in the oil and gas sector and the energy transition
Greg Hands,2021-12-20,"Shell, Octopus Energy, E.ON, Centrica, EDF Energy, Energy UK, Scottish Power, Ovo energy, Utilia, Utility Warehouse, Citizens Advice, Together Energy, ESB Energy, Good Energy, Ecotricity",To discuss the energy market
Greg Hands,2021-12-16,OVO Energy,To discuss the energy market
George Freeman,2021-10-11,"UK Space, Arqit, Alden, CGI UK, Satellite Applications Catapult, Airbus, Surrey Satellite Technology Ltd, Scottish Space Leadership Council, Inmarsat, OneWeb, UKspace SME Committee, UK Research and Innovation, Chief Scientific Advisor-BEIS, Space Academic Network, University of Leicester, UK Space Agency, Department for International Trade, Ministry of Defence",Space Sector Council to discuss the National Space Strategy
George Freeman,2021-10-11,Royal Society,To discuss objectives and spending review
George Freeman,2021-10-11,"Universities UK, Swansea University, University of the West of England",To discuss research and innovation for the for the university sector 
George Freeman,2021-10-11,BEIS Ministerial Stakeholder Reception,Stakeholder reception to discuss the work of the department
George Freeman,2021-10-12,University of Sussex,To discuss the Independent Review of Research Bureaucracy
George Freeman,2021-10-12,Research England,To discuss the work of Research England and an update on the Future Research Assessment Programme
George Freeman,2021-10-12,London Stock Exchange,Healthcare Investor Forum Speech on Innovation/next generation of technologies and opportunities in the post-pandemic world
George Freeman,2021-10-12,Royal Academy of Engineering,To discuss research and development
George Freeman,2021-10-13,The British Academy,To discuss research and development
George Freeman,2021-10-13,Academy of Medical Sciences,To discuss research and development
George Freeman,2021-10-14,IBM,To discuss research and development
George Freeman,2021-10-14,UK Bioindustry Association ,BIA Bioscience Forum and Keynote Speech on future ambition for UK life sciences
George Freeman,2021-10-14,National Physical Laboratory ,To discuss the Tailored Review
George Freeman,2021-10-14,"Public Policy Projects, IQVIA – PharmTech, National Institute for Health Research, University of Oxford, Venture Capital, Medicines and Healthcare Products Regulatory Agency, NICE Ltd, Pfizer Life Sciences",Drinks reception and speech to discuss the role of Clinical Research and Innovation/ Life Science Superpower vision
George Freeman,2021-10-18,"Bill & Melinda Gates Foundation, Rt Hon Sajid Javid MP (Secretary of State for Health and Social Care), Sir Patrick Vallance (Government Chief Scientific Adviser), Prof Chris Whitty (Chief Medical Officer), Trinity College and UK Special Envoy on AMR, Wellcome Trust, Medicines and Healthcare Products Regulatory Agency, UK Research, and Innovation, Medical Research Council, AstraZeneca",To discuss how to maximise the UK’s impact in improving future pandemic preparedness
George Freeman,2021-10-19,Asea Brown Boveri (ABB) Ltd,To discuss low carbon energy generation and robotics
George Freeman,2021-10-19,"University of Nottingham, Russell Group, Confederation of British Industry, Office for Students, Royal Society of Chemistry, MakeUK, Universities UK, Royal Society, Campaign for Science and Engineering – CaSE, University of Cardiff, UKRI, MillionPlus, British Academy, Royal Academy of Engineering, Government Office for Science, University of Strathclyde, Heriot-Watt University","Research, Innovation and European Collaboration Roundtable to discuss delays to the EU Programme Association"
George Freeman,2021-10-20,"SpaceX, UK Space Agency, Department for International Trade",To discuss SpaceX presence in the UK and the National Space Strategy
George Freeman,2021-10-20,"HMS Prince of Wales (jointly sponsored by Government and the Royal Navy) Minister Quin (MoD), Lord Mark Sedwill Minister Milling (FCDO)","Pacific Future Forum - Question Time - focused on indo-pacific defence, technology, science and innovation"
George Freeman,2021-10-21,"Lord Kamall, DHSC, Minister for Technology, Innovation and Life Sciences, Office of Life Sciences, Oxford University, NHS England, Medical Research Council, UK Research and Innovation, UK Biobank, Innovate UK, Cambridge University, Wellcome Trust, NHS Digital, Medicine Manufacturing Industries Partnership, Association of the British Pharmaceutical Industry, Association of British HealthTech Industries, BioIndustry Association, Science Industry Partnership, Legal & General, Merck Sharp & Dohme Ltd, Johnson & Johnson Innovation, AstraZeneca, United California Bank - UCB, SV Health Investors, GSK, Life Sciences British Patient Capital, British Business Bank, Office for Investment",Life Sciences Industrial Strategy Implementation Board to discuss Life Sciences Vision/ Industrial Strategy Phase
George Freeman,2021-10-21,University of Oxford,To discuss new approach to regulation
George Freeman,2021-10-21,The Behavioural Insights Team,To discuss innovation
George Freeman,2021-10-25,"Russell Group, University of Glasgow, University of Birmingham, University of Bristol, University of Cambridge, Cardiff University, Durham University, University of Edinburgh, University of Exeter, Imperial College London, King's College London, ?University of Leeds, University of Liverpool, London School of Economics and Political Science, Newcastle University, University of Nottingham, University of Oxford, ?Queen Mary University of London, Queen’s University Belfast, University of Sheffield, University of Southampton, University College London, ?University of Warwick, University of York","To discuss Horizon Europe, European Research programmes and activities in Northern England"
George Freeman,2021-11-01,"Cambridge Innovation Capital, University of Cambridge ",Speech on the importance of the innovation ecosystem
George Freeman,2021-11-01,University of Warwick,To discuss research and development and the UK global science superpower
George Freeman,2021-11-02,West Midlands Combined Authorities,To discuss West Midlands Innovation
George Freeman,2021-11-02,University College London,To discuss research & development and UK global science superpower
George Freeman,2021-11-03,"NICE, Lord Kamall-Department of Health and Social Care, Office for Life Sciences",To discuss life sciences innovation
George Freeman,2021-11-03,Syngenta ,To discuss UK research and development and Jealott’s Hill development
George Freeman,2021-11-04,Frances Crick Institute,To discuss the Landscape Review
George Freeman,2021-11-04,"National Quantum Coordination Office, Innovate UK, Foreign, Commonwealth and Development Office",To discuss joint statement of intent on quantum
George Freeman,2021-11-04,"World Intellectual Property Organisation, Intellectual, Property Office, WTO",To discuss innovation
George Freeman,2021-11-18,"Lockheed Martin UK, UK and Europe, Lockheed Martin Space UK","To discuss Space Programme - including 2022 UK Launch, Project Bluebird and Athena Group"
George Freeman,2021-11-22,The Wellcome Trust,To discuss UK Research & Innovation Research Bureaucracy and Research and Development landscape review
George Freeman,2021-11-22,GlaxoSmithKline,To discuss Life Sciences Vision
George Freeman,2021-11-23,"AstraZeneca, The Rt Hon Kwasi Kwarteng, HRH Prince of Wales, Mayor of Cambridge, Mayor of Peterborough, Anthony Browne MP, Daniel Zeichner MP, Greg Clark MP, Government of Sweden, Embassy of Mexico, Embassy of Thailand, Embassy of Sweden, Embassy of France, Embassy of Brazil, Embassy of Canada, US Embassy, NICE Ltd, UK Research and Innovation, Medicines and Healthcare Products Regulatory Agency, Cambridge University Hospitals, Nuffield Heath, Cancer Research UK, Engineering and Physical Sciences Research Council, NHS Cambridgeshire & Peterborough, Eastern Academic Health Science Network, Judge Business School, Meltwind Advisory LLP, Delta2020, Abcam plc, VaxEquity Ltd, Excalibur Health Ltd, BenevolentAI Ltd, Silence Therapeutics plc, Architects Registration Board Ltd, Miranda Weston-Smith Consulting Ltd, Campaign for Science and Engineering",Opening AstraZeneca New Headquarters of the Global Research & Development Centre
George Freeman,2021-11-23,"European Space Agency, UK Space Agency",To discuss investing in Goonhilly Earth Station and National Space Strategy
George Freeman,2021-11-24,"UK Space Agency, UKspace, Space Growth Partnership, Alden Legal, CGI UK, Satellite Applications Catapult, Airbus, Surrey Satellite Technology Ltd, Scottish Space Leadership Council, Inmarsat, OneWeb, UKspace SME Committee, Chief Scientific Advisor, UK Research and Innovation, Space Academic Network, University of Leicester, Department for International Trade, Ministry of Defence","Space Sector Council to discuss update on Inmarsat, National Space Strategy implementation and National Space Partnership"
George Freeman,2021-11-24,"Department for Health and Social Care, Rt. Hon. Kwasi Kwarteng MP, Department for Business, Energy & Industrial Strategy, AstraZeneca, NHS England, UK Research and Innovation, Wellcome Trust, Association of the British Pharmaceutical Industry, Association of British HealthTech Industries, UK BioIndustry Association, GlaxoSmithKline, Eisai Co Ltd, Sanofi, Pfizer, Merck & Co, UCB Pharma, Johnson & Johnson Innovation, BioIndustry Association, Health Technology Partnership, Department for International Trade, HM Treasury, Prime Minister Office, Smith & Nephew, Accelerated Access Collaborative, NICE Ltd, Medicines and Healthcare Products Regulatory Agency, NHS, Novartis","Life Sciences Council to discuss Life Science Sector Vision, Global Industry and Net Zero"
George Freeman,2021-11-24,Vaccine Manufacturing and Innovation Centre (VMIC),To discuss options for the sale of VMIC
George Freeman,2021-11-24,"Resolution Foundation, The Russell Group, Science and Technology Committee, The Foundation for Science and Technology, The Royal Society, Campaign for Science and Engineering (CaSE), University College London, Imperial College London","To discuss EU Research Programmes on science, technology, and innovation with a focus on EU Programme Association"
George Freeman,2021-11-25,"Tesco, Smart Pension, Phoenix Group, Legal & General, Aviva UK & Ireland Life, Royal London, Prudential plc, BVCA, Investment Association, British Business Bank, BT, USS, Fidelity International, Syncona, Balderton, Baillie Gifford, BlackRock, Octopus Group, Oxford Nanopore, Rt Hon Rishi Sunak, The Rt Hon Boris Johnson, The Rt Hon Therese Coffey MP, Lord Grimstone",No10 Institutional Investors to discuss investment in science
George Freeman,2021-11-25,"Science Business, Research European Commission, KU Leuven & League of European Universities, European Investment Bank, Engie Research",Science and Business event to discuss COP26/ Europe’s green research and development
George Freeman,2021-11-25,Oxford PV,To discuss Investment and research & development opportunities in the UK
George Freeman,2021-11-29,Air Street Capital,To discuss Artificial Intelligence
George Freeman,2021-12-01,GW Pharmaceuticals,"To discuss Jazz Pharma, UK investment, cannabis-based medicines and post-Brexit opportunities"
