Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-09-30,2019-09-30,London,Oyster Card Top-Up,,,50,,,50
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-07-03,2018-07-04,London, Internal Meetings,,154.3,12.4,261.2,,427.9
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-07-10,2018-07-12,London, Internal Meetings,,211.4,,277.82,,489.22
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-07-17,2018-07-19,London, Internal Meetings,,154.3,10,368,,532.3
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-07-23,2018-07-26,London,Executive Management Team Meeting,,154.3,,456.45,,610.75
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-07-30,2018-08-01,London, Internal Meetings,,154.3,32.8,264.57,,451.67
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-08-08,2018-08-09,London, Internal Meetings,,147.6,,139,,286.6
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-08-14,2018-08-15,London, Internal Meetings,,211.4,,239,,450.4
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-08-21,2018-08-22,London, Internal Meetings,,154.3,,148.5,,302.8
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-08-28,2018-08-30,London,Executive Management Team Meeting,,154.3,,245.57,,399.87
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-09-03,2018-09-04,London, Internal Meetings,,105.7,,12.45,,118.15
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-09-05,2018-09-05,Coventry,Stakeholder Engagement,,89.4,43,2.3,,134.7
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-09-11,2018-09-13,London, Internal Meetings,,154.3,,109.77,,264.07
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-09-20,2019-09-20,London,External Conference,,178.2,,,,178.2
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-09-25,2018-09-26,London, Internal Meetings,,199.7,5.72,105,,310.42
NINA PURCELL,Director of Regulatory Delivery,2018-07-02,2018-07-05,London,Internal Meetings,,101.6,4.8,524.17,,630.57
NINA PURCELL,Director of Regulatory Delivery,2018-07-09,2018-07-12,London,Internal Meetings,,230.8,109.8,499.34,,839.94
NINA PURCELL,Director of Regulatory Delivery,2018-07-16,2018-07-17,Aberdeen,Stakeholder Engagement,157.8,,102,95.04,,354.84
NINA PURCELL,Director of Regulatory Delivery,2018-07-23,2018-07-24,London,Executive Management Team Meeting ,,230.8,,112.3,,343.1
NINA PURCELL,Director of Regulatory Delivery,2018-07-30,2018-07-31,London,Internal Meetings and Stakeholder Engagement,,230.8,,139.7,,370.5
NINA PURCELL,Director of Regulatory Delivery,2018-08-13,2018-08-14,London,Internal Meetings,,101.6,,114,,215.6
NINA PURCELL,Director of Regulatory Delivery,2018-08-28,2018-08-29,London,Executive Management Team Meeting ,,230.8,,171.84,,402.64
NINA PURCELL,Director of Regulatory Delivery,2018-09-03,2018-09-03,London,Internal Meetings,,101.6,,10,,111.6
NINA PURCELL,Director of Regulatory Delivery,2018-09-06,2018-09-06,London,Internal Meetings,,101.6,,,,101.6
NINA PURCELL,Director of Regulatory Delivery,2018-09-10,2018-09-12,London,Internal Meetings and Stakeholder Engagement,,87.4,,277.2,,364.6
NINA PURCELL,Director of Regulatory Delivery,2018-09-18,2018-09-19,Cardiff,Board Meeting ,,,,99,,99
NINA PURCELL,Director of Regulatory Delivery,2018-09-25,2018-09-26,London ,Internal Meetings and Stakeholder Engagement,,94.2,64.56,180.2,,338.96
NINA PURCELL,Director of Regulatory Delivery,2018-10-02,2018-10-03,Birmingham / London,Executive Management Team Meeting ,,137.6,45.96,202.2,,385.76
STEVE WEARNE,Director of Policy,2018-07-01,2018-07-07,Rome,Inter-governmental meeting,108.2,13.7,51.26,889.73,,1062.89
STEVE WEARNE,Director of Policy,2018-09-07,2018-09-07,Andover,Stakeholder Engagement,,66,27,,,93
STEVE WEARNE,Director of Policy,2018-09-11,2018-09-12,London,Stakeholder Engagement,,,,179,,179
STEVE WEARNE,Director of Policy,2018-09-16,2018-09-22,"Cape Town, South Africa",Inter-governmental meeting,282.83,,,,,282.83
STEVE WEARNE,Director of Policy,2018-09-26,2018-09-27,Rome,Inter-governmental meeting,455.4,25,97.63,137.17,2.62,717.82
MICHAEL WIGHT, Interim Director of Policy,2018-09-18,2018-09-19,Cardiff,FSA Board Meeting,,105.5,,99,,204.5
DR COLIN SULLIVAN,Chief Operating Officer,2018-07-03,2018-07-05,London / Cardiff ,Stakeholder Engagement,404.5,118.1,74.95,245.79,,843.34
DR COLIN SULLIVAN,Chief Operating Officer,2018-07-10,2018-07-10,London, Internal Meetings,385.95,,25,10.98,,421.93
DR COLIN SULLIVAN,Chief Operating Officer,2017-07-12,2018-07-12,Birmingham ,Stakeholder Engagement,112.15,,25,6.94,,144.09
DR COLIN SULLIVAN,Chief Operating Officer,2018-07-31,2018-07-31,London ,Executive Management Team Meeting,130.92,33.4,50.39,24.08,,238.79
DR COLIN SULLIVAN,Chief Operating Officer,2018-08-06,2018-08-07,London,Executive Management Team Meeting,338.96,33.4,22.99,124.64,,519.99
DR COLIN SULLIVAN,Chief Operating Officer,2018-08-13,2018-08-15,London / Birmingham,Office / Site Visit,406.03,104.7,70,234.01,,814.74
DR COLIN SULLIVAN,Chief Operating Officer,2018-08-20,2018-08-21,London, Internal Meetings,274.59,33.4,22.99,125.94,,456.92
DR COLIN SULLIVAN,Chief Operating Officer,2018-08-28,2018-08-28,London, Internal Meetings,358.05,17.2,58,19.91,,453.16
DR COLIN SULLIVAN,Chief Operating Officer,2018-08-30,2018-08-30,London, Internal Meetings,334.48,16.4,58,9.1,,417.98
DR COLIN SULLIVAN,Chief Operating Officer,2018-09-04,2018-09-05,London,Executive Management Team Meeting,386.54,21.6,58,199.23,,665.37
DR COLIN SULLIVAN,Chief Operating Officer,2018-09-10,2018-09-10,London, Internal Meetings,381.04,45.9,58,9.18,,494.12
DR COLIN SULLIVAN,Chief Operating Officer,2018-09-14,2018-09-15,Birmingham ,External Conference,202.15,,26.95,105.05,,334.15
DR COLIN SULLIVAN,Chief Operating Officer,2018-09-18,2018-09-19,Cardiff ,FSA Board Meeting,180.5,,129.24,23.27,,333.01
DR COLIN SULLIVAN,Chief Operating Officer,2018-09-24,2018-09-26,London, Internal Meetings,171.88,20.4,58,283.99,,534.27
