Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,08/02/2019,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080097832,"30,506.05",A/C 0912819049 - PPC/Med/Mat,S49 1HQ
Departmen of Health,NHS Business Services Authority,08/02/2019,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080097833,"35,477.08",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,08/02/2019,Query,Corporate Services,KIER FACILITIES SERVICES LTD,0080097836,"27,422.14",PICD-13.136 for Wifi Installation at,RG21 4HG
Departmen of Health,NHS Business Services Authority,08/02/2019,Agency Fees,Prescription Pricing Division,ALEXANDER MANN SOLUTIONS,0080097843,"35,514.88",W/E 06/01/19-23/09/18 B15002,
Departmen of Health,NHS Business Services Authority,08/02/2019,Telphone Charges,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080097846,"398,907.90",MITI VARIABLE CHARGES - DEC 2018,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/02/2019,Telphone Charges,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080097846,476.03,MITI VARIABLE CHARGES - DEC 2018,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/02/2019,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080097849,"397,145.56",MITI FIXED CHARGES - DEC2018,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/02/2019,Professional Fees,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080097849,695.52,MITI FIXED CHARGES - DEC2018,DL1 9HN
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,DHL SUPPLY CHAIN LIMITED,0080097869,"128,394.88",T1 IMPLEMENTATION,MK10 1ZP
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,DHL SUPPLY CHAIN LIMITED,0080097870,"93,981.28",T3 IMPLEMENTATION,MK10 1ZP
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,DHL SUPPLY CHAIN LIMITED,0080097871,"360,773.56",T7 IMPLEMENTATION,MK10 1ZP
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,LEEDS & YORK PARTNERSHIP NHS FT,0080097872,"91,041.00",TOWER11 GAIN SHARE,WF3 1WE
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,HEALTH SOLUTIONS TEAM LIMITED,0080097873,"345,253.16",T6 IMPLEMENTATION,MK10 1ZP
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,AKESO & COMPANY LIMITED,0080097874,"86,105.43",MILESTONE 8 IMPL SERVICES,WC1A 2TH
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,FOODBUY EUROPE LIMITED,0080097878,"442,425.00",MILESTONE PROFIT PAYMENT - CC 96801001,B45 9PZ
Departmen of Health,NHS Business Services Authority,08/02/2019,Professional Fees,Prescription Pricing Division,MOZAIC SERVICES LTD,0080097891,"170,692.01",SIAM Partner - February 2019 Services,EC2R 7HG
Departmen of Health,NHS Business Services Authority,15/02/2019,Agency Fees,Prescription Pricing Division,ALEXANDER MANN SOLUTIONS,0080097938,"27,642.77",TEMP STAFF,
Departmen of Health,NHS Business Services Authority,15/02/2019,Printing Charges (External),Prescription Pricing Division,XEROX UK LIMITED,0080097966,"24,102.10",Production and Delivery of HwHC forms,LS12 6NJ
Departmen of Health,NHS Business Services Authority,15/02/2019,Furniture Purchase,Corporate Services,FLEXIFORM,0080097976,"91,356.98",2 Person Jot up electrically height,BD3 7AE
Departmen of Health,NHS Business Services Authority,22/02/2019,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080097994,"27,215.09","Production, Personalization and",SS6 7UQ
Departmen of Health,NHS Business Services Authority,15/02/2019,Query,Supply Chain Management Division,UNIPART GROUP LIMITED,0080098007,"598,025.00",Month 2 Oct,OX4 2PG
Departmen of Health,NHS Business Services Authority,15/02/2019,Temporary Staff,Pensions Division,CLAYBROOK COMPUTING LTD,0080098035,"45,257.00",2015 Transfers in Workflows Services to,RH10 1UH
Departmen of Health,NHS Business Services Authority,15/02/2019,Hard FM Contract,Corporate Services,KIER FACILITIES SERVICES LTD,0080098062,"38,540.91",PHASE2 CONTRACT FEE - JAN19,RG21 4HG
Departmen of Health,NHS Business Services Authority,19/02/2019,Temporary Staff,Corporate Services,ALEXANDER MANN SOLUTIONS,0080098167,"31,349.44",TEMP STAFF,
Departmen of Health,NHS Business Services Authority,22/02/2019,Temporary Staff,Pensions Division,VALTECH LTD,0080098182,"174,757.50","Delivery of Discovery, Alpha and Beta",N1 8AF
Departmen of Health,NHS Business Services Authority,22/02/2019,Query,Pensions Division,CLAYBROOK COMPUTING LTD,0080098185,"167,812.50",Monthly standard product support and,RH10 1UH
Departmen of Health,NHS Business Services Authority,22/02/2019,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080098200,"32,507.27",0.87 days 18-19 England Infected Blood,LS2 7UE
Departmen of Health,NHS Business Services Authority,22/02/2019,Professional Fees,Prescription Pricing Division,AGILISYS LTD,0080098205,"34,614.86",Managed Infrastructure project,W6 9DL
Departmen of Health,NHS Business Services Authority,26/02/2019,Furniture Purchase,Corporate Services,FLEXIFORM,0080098268,"64,976.64",Monitor bracket fitted to infill panel,BD3 7AE
Departmen of Health,NHS Business Services Authority,26/02/2019,Query,Prescription Pricing Division,ATOS IT SERVICES UK LTD,0080098295,"164,915.26",Fixed Monthly Charges of:,WV10 6UH
Departmen of Health,NHS Business Services Authority,26/02/2019,LAN Software,Corporate Services,SAPPHIRE TECHNOLOGIES LTD,0080098309,"47,305.33",TN70000473 - TIO-VM,DL3 0PH
Departmen of Health,NHS Business Services Authority,26/02/2019,Query,Pensions Division,MEDIGOLD HEALTH CONSULTANCY,0080098311,"54,679.80",Provision of Services Agreement between,NN4 7BF
Departmen of Health,NHS Business Services Authority,26/02/2019,Minor Works,Corporate Services,INTEGRATED HEALTH PROJECTS,0080098312,"355,597.63",IHP MW  CERT 1 TO-2,HP2 7TR
Departmen of Health,NHS Business Services Authority,01/02/2019,Pensions Division,Pensions Division,,,"1,156,764.15",Payments to Pensioners,
Departmen of Health,NHS Business Services Authority,01/02/2019,Dental Contractors,Dental Services Division,,,"158,506,823.00",Payments to Dental Contractors,
Departmen of Health,NHS Business Services Authority,01/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"662,798,505.90",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,01/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"87,238,802.57",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,01/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"6,460,616.29",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,01/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"4,376,705.48",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,01/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"494,799.78",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,05/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"1,008,367.18",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,06/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"303,104.64",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,07/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"135,226.70",Payments to Pharmacy Contractors,
Departmen of Health,NHS Business Services Authority,28/02/2019,Pharmacy Contractors,Prescription Pricing ,,,"7,285,406.45",Payments to Pharmacy Contractors,
,,,,,,,,,
,,,,,,,,,
