Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Ref,Line No,Line Value
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Drugs,AS Medical,Lloyds Pharmacy,0000367851,008,296.54
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Drugs,AS Medical,Lloyds Pharmacy,0000367851,009,"7,894.66"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Drugs,ICS Community Management,Lloyds Pharmacy,0000367851,010,"67,390.51"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Drugs,ICS Community Management,Lloyds Pharmacy,0000367851,011,"11,083.43"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Drugs,CORP Medicines Management,Lloyds Pharmacy,0000367851,012,132.00
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,External Contracts Pharmacy,CORP Medicines Mgmnt Contract,Lloyds Pharmacy,0000367851,013,"44,654.10"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Drugs,ICS GPs Out of Hrs,Lloyds Pharmacy,0000367851,014,36.50
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Drugs,ICS Integrated Sexual Health,Lloyds Pharmacy,0000367851,015,"3,258.78"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Drugs,ICS Integrated Sexual Health,Lloyds Pharmacy,0000367851,016,935.28
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,CFS CAMHS Medical Coventry,NHS Business Services Authority,0000368248,001,"24,494.03"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,AS Pharmacy,NHS Business Services Authority,0000368248,002,"38,231.08"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,AS Medical,NHS Business Services Authority,0000368248,003,"19,898.57"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,CFS CAMHS Medical Wark,NHS Business Services Authority,0000368248,004,"9,414.09"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,ICS Palliative Care,NHS Business Services Authority,0000368248,005,"2,631.29"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,ICS GPs Out of Hrs,NHS Business Services Authority,0000368248,006,"8,781.42"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,ICS Integrated Sexual Health,NHS Business Services Authority,0000368248,007,1.86
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,Other NHS Recharges,NHS Debtors Less Than 1 Year,NHS Business Services Authority,0000368248,008,"9,312.72"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,CFS Childrens Neurodevelopment,NHS Business Services Authority,0000368248,009,"2,842.11"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,ICS Clinical Assessment,NHS Business Services Authority,0000368248,010,"3,355.63"
Health,Coventry and Warwickshire Partnership NHS Trust,20171012,FP10S,ICS Medical (Solihull),NHS Business Services Authority,0000368248,011,"1,331.55"
